"filename","text"
"bg_confusion_000000001.png","花都茶吧"
"bg_confusion_000000002.png","秦晋味道"
"bg_confusion_000000003.png","太重宾馆"
"bg_confusion_000000004.png","补胎"
"bg_confusion_000000005.png","内设包厢订餐送餐电话"
"bg_confusion_000000006.png","炸串"
"bg_confusion_000000007.png","第1世界大店"
"bg_confusion_000000008.png","夏丰纺纱"
"bg_confusion_000000009.png","岳各庄水站"
"bg_confusion_000000010.png","特色农家菜"
"bg_confusion_000000011.png","秋梅贸易有限公司优农汇农产品连锁"
"bg_confusion_000000012.png","新联写字楼"
"bg_confusion_000000013.png","来可以免费拿"
"bg_confusion_000000014.png","纪翟路三百五十五弄一百支弄"
"bg_confusion_000000015.png","方正证券"
"bg_confusion_000000016.png","少数民族联合会"
"bg_confusion_000000017.png","千兆到家万千未来"
"bg_confusion_000000018.png","13907162417"
"bg_confusion_000000019.png","定做各种工地配电箱"
"bg_confusion_000000020.png","音浩日娲酒楼"
"bg_confusion_000000021.png","北京裕和中西医"
"bg_confusion_000000022.png","苏妈小店"
"bg_confusion_000000023.png","四道口社区警务团队工作室"
"bg_confusion_000000024.png","新四季园林"
"bg_confusion_000000025.png","尚宾馆"
"bg_confusion_000000026.png","非物质文化遗产保护项目"
"bg_confusion_000000027.png","金恒德宾馆"
"bg_confusion_000000028.png","汇丰饺子园"
"bg_confusion_000000029.png","金牛酒店"
"bg_confusion_000000030.png","新鮮冰淇淋·茶飲"
"bg_confusion_000000031.png","平海国际"
"bg_confusion_000000032.png","北京中房恒润环保科技发展有限公司"
"bg_confusion_000000033.png","金胖子排挡"
"bg_confusion_000000034.png","啊"
"bg_confusion_000000035.png","配送电话：1370187262015216783389"
"bg_confusion_000000036.png","富尔特宾馆"
"bg_confusion_000000037.png","中国银"
"bg_confusion_000000038.png","张英粉大骗子"
"bg_confusion_000000039.png","夏不为利"
"bg_confusion_000000040.png","学而思培优"
"bg_confusion_000000041.png","穿耳"
"bg_confusion_000000042.png","雅"
"bg_confusion_000000043.png","同仁医院"
"bg_confusion_000000044.png","眼镜酸"
"bg_confusion_000000045.png","红房子招待所"
"bg_confusion_000000046.png","胜高连锁酒店"
"bg_confusion_000000047.png","西安腊"
"bg_confusion_000000048.png","上海市非物质文化遗产"
"bg_confusion_000000049.png","此处不得车现事故承责任"
"bg_confusion_000000050.png","一曲中国梦"
"bg_confusion_000000051.png","dentalgr"
"bg_confusion_000000052.png","学习铁成精神"
"bg_confusion_000000053.png","陕西老碗面"
"bg_confusion_000000054.png","福乐时尚宾馆"
"bg_confusion_000000055.png","重庆金翔影音有限公司"
"bg_confusion_000000056.png","温州"
"bg_confusion_000000057.png","新博美装饰城"
"bg_confusion_000000058.png","浙商银行"
"bg_confusion_000000059.png","圆通速递"
"bg_confusion_000000060.png","恒通快速充电巴士"
"bg_confusion_000000061.png","广州启税财务代理有限公司"
"bg_confusion_000000062.png","商务楼宇工作站"
"bg_confusion_000000063.png","ytime"
"bg_confusion_000000064.png","wall"
"bg_confusion_000000065.png","shop463309774.taobao.com"
"bg_confusion_000000066.png","industrial"
"bg_confusion_000000067.png","無損傷"
"bg_confusion_000000068.png","专业切割石材木材等"
"bg_confusion_000000069.png","ttrf.cn.alibaba.com"
"bg_confusion_000000070.png","一款"
"bg_confusion_000000071.png","好又来通信"
"bg_confusion_000000072.png","makeup"
"bg_confusion_000000073.png","龙新商行"
"bg_confusion_000000074.png","加温"
"bg_confusion_000000075.png","柔软材质"
"bg_confusion_000000076.png","http：//myzz.taobao.com"
"bg_confusion_000000077.png","电话18322989616"
